subjects,repetition,repeated,occulted,lag,RMSE,Corr,Lag_Corr,Lag_RMSE,spectral_diff,xcorr,MI,segmentLength
6,8,1,1,-24,0.286181312248326,0.065832907117317,-0.305370361321411,314.73367229971,0.591571344949153,-1.69285086971401,-0.850853350951272,-0.10526452935943
6,8,0,0,9,-1.11868683601721,0.7634165239844,0.875251134115596,107.310795635908,-0.333906797376909,1.42917641199341,1.8742304336364,-0.457316065697715
6,9,1,1,6,0.784184800436964,-0.733057180635124,-0.75008048687667,310.40485641327,-0.241182868387221,-1.02436661002047,1.94745101395759,-0.10526452935943
6,9,0,0,17,-0.768071075046034,0.395370374109701,-0.079304572368962,212.660037706379,-0.879265583487934,-0.414733992660703,-0.275679312639979,-0.457316065697715
6,10,1,1,0,1.40350817717477,0.015843638544283,0.015843638544283,362.077612732295,2.42647930372573,-1.18873171456937,-0.909652449349604,-0.10526452935943
6,10,0,0,9,-0.264256904226872,0.592199734408124,0.699260838187103,196.510188541951,0.761261466985893,0.683287793256071,0.359232828130072,-0.457316065697715
6,11,1,0,1,-1.552534817826,0.831873883578264,0.827337707086649,104.440816611327,-1.16350852791069,1.25311915627693,NA,2.80560061255956
6,11,0,1,-16,0.46943027422115,-0.100451629547459,-0.130279032158623,298.704925907998,-0.916067893014401,-1.24875193464022,-0.891252492109191,-0.895233830411191
6,12,1,0,6,-1.36050607669098,0.788025342143696,0.792711751241418,116.318183589322,-0.860998300036562,1.05834498368858,2.17540993977329,2.80560061255956
6,12,0,1,2,1.50617077890957,-0.872313664226246,-0.869062468985569,372.917807915918,-1.02933203021287,-0.443814672588581,NA,-0.697741505148251
7,1,1,0,14,-0.88472507371483,0.567812231443433,0.876409239520697,93.9543751112646,-0.68502290005998,1.4079733063427,0.410270485010714,1.55195367828176
7,1,0,1,-7,0.872212332221418,-0.251812608180277,-0.036270136530651,289.920401624071,-0.058477176268434,-0.311868584264125,-0.522933815601395,-0.10526452935943
