subjects,repetition,segment,lag,RMSE,correlation,lagCorr,lagRMSE,segmentLength,FB,FF,MI,VMD,samEnt,pupil_size,PSD,repeated
4,16,5,14,-1.0024443193086,0.555208835016798,0.674841886663253,0.197845250676547,434,-0.192327099047015,-0.824972382037142,0.316477444324424,0.316477444324424,0.085387465366447,0.321836623112983,-0.712365355882362,0
4,17,1,14,-0.901112142930325,0.575716469407138,0.760185173890921,0.181277127526039,413,-0.285739823155129,-0.355689885737866,0.442338680534093,0.442338680534093,0.010252695165029,NA,-1.06425336547608,0
4,17,2,11,-0.68546586978618,0.68118261353063,0.817419111937866,0.186231965865508,545,0.509887393948913,0.398427238426872,0.696404938112426,0.696404938112426,-0.020359421969416,0.366425206035013,-0.651554651798907,1
4,17,3,-35,-0.666211496500399,0.44214294597155,-0.499316542876774,0.385950229978019,386,-0.424988288311856,-0.859691512034887,0.294040748734888,0.294040748734888,0.08523902233581,-0.381506618356531,0.32099816123996,0
4,17,4,11,-0.517033419565969,0.656881585519187,0.82265471268474,0.18293279390327,545,0.882241428439502,0.20846057232977,0.663783926034308,0.663783926034308,-0.062417246002995,0.011529302556897,-0.555530198159246,1
4,17,5,14,-0.54095923200145,0.343394031434329,0.688350626920122,0.196571927947757,320,1.57003231215519,-0.881807756798903,0.39716593386666,0.39716593386666,0.001683524606194,-0.692283058985192,0.395865832851875,0
4,18,1,13,-0.962660305151159,0.56569616922331,0.723627311823958,0.167791409637964,424,1.95991562584835,-0.437961755800047,0.54240527755398,0.54240527755398,-0.017302179486678,NA,-1.82123072222237,0
4,18,2,14,-0.073456644852513,0.554006686840726,0.795507647324614,0.192271237512341,545,0.917601285992208,0.180564517048268,0.657935212370589,0.657935212370589,0.070335517908945,-0.370146688020561,-0.562541525473456,1
4,18,3,15,0.040143626730882,0.551106045956182,0.688291427683435,0.252696310442355,464,0.809236810285412,-1.03568186626707,0.312538509130052,0.312538509130052,0.009826574359527,0.273124555083533,-0.766790973475779,0
4,18,4,6,-0.760696419388893,0.661011472322696,0.684527216370037,0.234631532750082,545,-0.10052155447188,-0.077621835329969,0.530095992667157,0.530095992667157,-0.06504602276751,0.552627873191718,-0.656287301870823,1
4,18,5,13,-0.815440897726049,0.598514696821401,0.671844670546917,0.217820717609127,459,-0.825835724276801,-0.06699013547997,0.493326747737419,0.493326747737419,0.059987691926008,-0.522888611881439,0.01872901817921,0
4,19,1,13,-0.49050067061118,0.446325089088372,0.586673765713748,0.217883965187413,433,0.564968168985363,-0.813441554462319,0.361184447908776,0.361184447908776,-0.146519457794474,NA,0.167177330966674,0
4,19,2,8,-0.650026204531938,0.674924910181616,0.676565774160415,0.248702837217559,545,0.150372077723649,0.433830553883652,0.686589987524,0.686589987524,0.166908893861715,0.781793442114084,-0.654529429529011,1
4,19,3,16,0.54077771979781,0.163889850764043,0.773262974968534,0.184597336436499,313,NA,-1.1847830442278,0.406304387271648,0.406304387271648,-0.242501894460587,-0.647637021314165,1.63068585328467,0
4,19,4,5,-1.14102104536727,0.719840445485108,0.724734652728612,0.215701475861654,545,0.872218352676367,0.399250437771279,0.716485130303001,0.716485130303001,0.008682517423271,-0.189983806543193,-0.689040293743761,1
4,19,5,12,-0.906818312912164,0.400595249248758,0.562843246500381,0.200705875737323,377,2.13960803176878,-1.03243292656551,0.386330174778182,0.386330174778182,0.013164528934879,0.163274585995777,-1.29668092047118,0
4,20,1,12,-0.291470823641679,0.569451116834305,0.726109524916487,0.233918832558162,445,0.945966115787863,0.128457461135713,0.644945872800116,0.644945872800116,-0.066695915288233,NA,0.175386813888643,0
4,20,2,12,-1.19082041436002,0.717736351664472,0.830231677824157,0.176349912268754,545,2.10807501015648,0.04593912144459,0.685581186512032,0.685581186512032,0.110874526365133,-0.080019845969523,-0.775304648848138,1
4,20,3,13,0.205972835034542,0.609303495682914,0.75611323269758,0.24348683468313,488,-0.081256004995762,-0.268948661617432,0.477751272463416,0.477751272463416,-0.045392010709825,-0.371688481026546,1.07690508675798,0
4,20,4,15,1.46314401827772,0.355154952027336,0.708910431653865,0.261289999360159,545,0.73979275869233,-0.441441121339946,0.47458929523553,0.47458929523553,0.043988800427113,1.35723733108469,-0.511154090197187,1
4,20,5,13,0.98700518826248,0.31097677499708,0.605850728320112,0.271798768325011,394,0.138780472242948,-0.689863979429911,0.372326664913787,0.372326664913787,-0.121367001255514,1.3996983059767,0.211453798243852,0
4,21,1,15,-0.208494817671155,0.377323089109926,0.719307032424477,0.18701315415899,311,-0.876184687887369,-0.807799496665853,0.283805088006988,0.283805088006988,0.049863956442094,NA,-1.08578194698112,0
